"","Site","Date","Color","Temp_C"
"352","Balzor",2022-06-03,"White",17.4999998807907
"353","Balzor",2022-06-04,"Black",16.5666664441427
"354","Balzor",2022-06-04,"White",14.2124998569489
"355","Balzor",2022-06-05,"Black",17.6999999682109
"356","Balzor",2022-06-05,"White",15.3500000238419
"357","Balzor",2022-06-06,"Black",19.25
"358","Balzor",2022-06-06,"White",15.8999998569489
"359","Balzor",2022-06-07,"Black",20.5666666030884
"360","Balzor",2022-06-07,"White",16.5750002861023
"361","Balzor",2022-06-08,"Black",19.2666664123535
"362","Balzor",2022-06-08,"White",16.8625000715256
"363","Balzor",2022-06-09,"Black",21.9999998410543
"364","Balzor",2022-06-09,"White",18.3625000715256
"365","Balzor",2022-06-10,"Black",18.1625002883375
"366","Balzor",2022-06-10,"White",20.5125000476837
"367","Balzor",2022-06-11,"Black",18.212499955669
"368","Balzor",2022-06-11,"White",20.6374999284744
"369","Balzor",2022-06-12,"Black",11.0499998088926
"370","Balzor",2022-06-12,"White",13.3875000476837
"371","Balzor",2022-06-13,"Black",9.06249995902181
"372","Balzor",2022-06-13,"White",9.73750019073486
"373","Balzor",2022-06-14,"Black",10.3875003159046
"374","Balzor",2022-06-14,"White",10.5000000596046
"375","Balzor",2022-06-15,"Black",13.1374999955297
"376","Balzor",2022-06-15,"White",14.0124997496605
"377","Balzor",2022-06-16,"Black",16.0375001654029
"378","Balzor",2022-06-16,"White",18.3749998807907
"379","Balzor",2022-06-17,"Black",15.0250000245869
"380","Balzor",2022-06-17,"White",16.8499999046326
"381","Balzor",2022-06-18,"Black",15.1875
"382","Balzor",2022-06-18,"White",16.8250002861023
"383","Balzor",2022-06-19,"Black",13.2750000953674
"384","Balzor",2022-06-19,"White",14.0249999761581
"385","Balzor",2022-06-20,"Black",14.862500090152
"386","Balzor",2022-06-20,"White",15.9875000715256
"387","Balzor",2022-06-21,"Black",17.1124997315928
"388","Balzor",2022-06-21,"White",18.7750000953674
"389","Balzor",2022-06-22,"Black",17.2874995693564
"390","Balzor",2022-06-22,"White",20.5499999523163
"391","Balzor",2022-06-23,"White",21.8874999284744
"392","Balzor",2022-06-24,"White",20.8500001430511
"393","Balzor",2022-06-25,"White",20.924999833107
"394","Balzor",2022-06-26,"White",23.3125002384186
"395","Balzor",2022-06-27,"White",24.6749999523163
"396","Balzor",2022-06-28,"White",24.9499998092651
"397","Balzor",2022-06-29,"White",23.7249995470047
"398","Balzor",2022-06-30,"White",23.3125
"399","Balzor",2022-07-01,"White",25.2874994277954
"400","Balzor",2022-07-02,"White",23.9624998569489
"401","Balzor",2022-07-03,"White",24.4249997138977
"402","Balzor",2022-07-04,"White",21.450000166893
"403","Balzor",2022-07-05,"White",22.75
"404","Balzor",2022-07-06,"White",25.3333333333333
"405","Balzor",2022-07-07,"White",26.3666667938232
"406","Balzor",2022-07-08,"White",26.4000002543132
"407","Balzor",2022-07-09,"White",26.5833339691162
"408","Balzor",2022-07-10,"White",26.0499998728434
"409","Balzor",2022-07-11,"White",25.9833342234294
"410","Balzor",2022-07-12,"White",27.1166661580404
"411","Balzor",2022-07-13,"White",28.6499999364217
"412","Balzor",2022-07-14,"White",28.5833336512248
"413","Balzor",2022-07-15,"White",29.1333338419596
"414","Balzor",2022-07-16,"White",28.4166669845581
"415","Balzor",2022-07-17,"White",27.8166669209798
"416","Balzor",2022-07-18,"White",27.799999554952
"417","Balzor",2022-07-19,"White",27.5999994277954
"418","Balzor",2022-07-20,"White",29.2833337783813
"419","Balzor",2022-07-21,"White",29.1833330790202
"420","Balzor",2022-07-22,"White",28.9333330790202
"421","Balzor",2022-07-23,"White",28.3499994277954
"422","Balzor",2022-07-24,"White",27.8166669209798
"423","Balzor",2022-07-25,"White",27.8833335240682
"424","Balzor",2022-07-26,"White",29.233333269755
"425","Balzor",2022-07-27,"White",30.0333334604899
"426","Balzor",2022-07-28,"White",30.4999996821086
"427","Balzor",2022-07-29,"White",29.9666662216187
"428","Balzor",2022-07-30,"White",29.75
"429","Wildcat",2021-11-22,"Black",4.07499992847443
"430","Wildcat",2021-11-22,"White",2.62499998509884
"431","Wildcat",2021-11-23,"Black",3.80000004731119
"432","Wildcat",2021-11-23,"White",2.67500004731119
"433","Wildcat",2021-11-24,"Black",5.125
"434","Wildcat",2021-11-24,"White",3.47499996423721
"435","Wildcat",2021-11-25,"Black",3.02499990165234
"436","Wildcat",2021-11-25,"White",0.550000041723251
"437","Wildcat",2021-11-26,"Black",3.87500001490116
"438","Wildcat",2021-11-26,"White",2.45000007003546
"439","Wildcat",2021-11-27,"Black",6.20000001788139
"440","Wildcat",2021-11-27,"White",4.32500007748604
"441","Wildcat",2021-11-28,"Black",6.39999988675117
"442","Wildcat",2021-11-28,"White",4.35000002384186
"443","Wildcat",2021-11-29,"Black",5.67500007152557
"444","Wildcat",2021-11-29,"White",3.82499998807907
"445","Wildcat",2021-11-30,"Black",5.72499990463257
"446","Wildcat",2021-11-30,"White",3.80000001192093
"447","Wildcat",2021-12-01,"Black",6.22499990463257
"448","Wildcat",2021-12-01,"White",4.25
"449","Wildcat",2021-12-02,"Black",5.97500017285347
"450","Wildcat",2021-12-02,"White",4.05000007152557
"451","Wildcat",2021-12-03,"Black",5.20000010728836
"452","Wildcat",2021-12-03,"White",3.44999998807907
"453","Wildcat",2021-12-04,"Black",3.05000000633299
"454","Wildcat",2021-12-04,"White",1.87499996460974
"455","Wildcat",2021-12-05,"Black",6.375
"456","Wildcat",2021-12-05,"White",4.92500007152557
"457","Wildcat",2021-12-06,"Black",2.64999997615814
"458","Wildcat",2021-12-06,"White",2.07499998807907
"459","Wildcat",2021-12-07,"Black",3.79999989271164
"460","Wildcat",2021-12-07,"White",2.94999995827675
"461","Wildcat",2021-12-08,"Black",5.30000007152557
"462","Wildcat",2021-12-08,"White",4.17499989271164
"463","Wildcat",2021-12-09,"Black",3.32500004768372
"464","Wildcat",2021-12-09,"White",2.52500000596046
"465","Wildcat",2021-12-10,"Black",2.66666666666667
"466","Wildcat",2021-12-10,"White",1.76666668057442
"467","Wildcat",2021-12-11,"Black",2.73333332935969
"468","Wildcat",2021-12-11,"White",2.26666669050852
"469","Wildcat",2021-12-12,"Black",5.949999888738
"470","Wildcat",2021-12-12,"White",5.08333333333333
"471","Wildcat",2021-12-13,"Black",5.88333320617676
"472","Wildcat",2021-12-13,"White",5.31666672229767
"473","Wildcat",2021-12-14,"Black",4.76666665077209
"474","Wildcat",2021-12-14,"White",4.43333331743876
"475","Wildcat",2021-12-15,"Black",1.08333332588275
"476","Wildcat",2021-12-15,"White",0.866666662196318
"477","Wildcat",2021-12-16,"Black",2.98333324988683
"478","Wildcat",2021-12-16,"White",1.41666665673256
"479","Wildcat",2021-12-17,"Black",3.76666667064031
"480","Wildcat",2021-12-17,"White",2.73333330949148
"481","Wildcat",2021-12-18,"Black",1.95000000049671
"482","Wildcat",2021-12-18,"White",0.600000003973643
"483","Wildcat",2021-12-19,"Black",0.633333331594864
"484","Wildcat",2021-12-19,"White",0.25
"485","Wildcat",2021-12-20,"Black",4.53333328167597
"486","Wildcat",2021-12-20,"White",1.64999999850988
"487","Wildcat",2021-12-21,"Black",2.10000000273188
"488","Wildcat",2021-12-21,"White",0.299999990810951
"489","Wildcat",2021-12-22,"Black",3.89999998609225
"490","Wildcat",2021-12-22,"White",1.50000000124176
"491","Wildcat",2021-12-23,"Black",4.73333330949148
"492","Wildcat",2021-12-23,"White",3.66666666666667
"493","Wildcat",2021-12-24,"Black",4.10000006357829
"494","Wildcat",2021-12-24,"White",2.95000000794729
"495","Wildcat",2021-12-25,"Black",1.98333334922791
"496","Wildcat",2021-12-25,"White",1.40000001589457
"497","Wildcat",2021-12-26,"Black",1.11666666467985
"498","Wildcat",2021-12-26,"White",0.816666672627131
"499","Wildcat",2021-12-27,"Black",0.716666673620542
"500","Wildcat",2021-12-27,"White",0.416666659216086
"501","Wildcat",2021-12-28,"Black",0.0666666614512603
"502","Wildcat",2021-12-28,"White",-0.333333323399226
"503","Wildcat",2021-12-29,"Black",-0.31666666145126
"504","Wildcat",2021-12-29,"White",-0.600000005215406
"505","Wildcat",2021-12-30,"Black",1.24176343282403e-09
"506","Wildcat",2021-12-30,"White",-0.583333342025677
"507","Wildcat",2021-12-31,"Black",-0.700000001738469
"508","Wildcat",2021-12-31,"White",-1.20000001663963
"509","Wildcat",2022-01-01,"Black",-2.20000001788139
"510","Wildcat",2022-01-01,"White",-2.96249997895211
"511","Wildcat",2022-01-02,"Black",-3.54999995231628
"512","Wildcat",2022-01-02,"White",-4.60000005364418
"513","Wildcat",2022-01-03,"Black",-3.08750003483146
"514","Wildcat",2022-01-03,"White",-3.38750004582107
"515","Wildcat",2022-01-04,"Black",0.275000002235174
"516","Wildcat",2022-01-04,"White",0.212500003166497
"517","Wildcat",2022-01-05,"Black",0.849999999627471
"518","Wildcat",2022-01-05,"White",0.550000008195639
"519","Wildcat",2022-01-06,"Black",0.412500007078052
"520","Wildcat",2022-01-06,"White",0.400000009685755
"521","Wildcat",2022-01-07,"Black",3.02500001527369
