"data_column","site_clean","bioclim_1","bioclim_2","bioclim_3","bioclim_4","bioclim_5","bioclim_6","bioclim_7","bioclim_8","bioclim_9","bioclim_10","bioclim_11","bioclim_12","bioclim_13","bioclim_14","bioclim_15","bioclim_16","bioclim_17","bioclim_18","bioclim_19","genotype","Latitude","Longitude","SNPmatrix_column","source"
"Lee1","Lee1",16.7103639076855,16.1849185265374,41.3390448579201,855.18549812276,37.759311827957,-1.39233906810036,39.1516508960573,8.67977241688296,20.3116975507766,27.592610692951,6.62050091150661,133.366666666667,26.4066666666667,3.003,54.8878127218429,61.401,17.5436666666667,20.278,58.707,61,36.82340833,-116.0163889,54,"genotype"
"Lee2","Lee2",16.4853095534942,13.3188560154287,38.4156355301171,813.865542001339,35.1497741935484,0.479370250896058,34.6704039426523,8.66871867992655,19.565932078853,26.8978,7.00312483285367,200.14,42.0686666666667,0.454,66.4582277338564,97.962,13.1433333333333,30.6323333333333,95.73,62,35.3984,-115.7845,55,"genotype"
"Lee3","Lee3",14.8987405354127,15.3219418513222,41.4282720051165,816.36118918352,34.9247634408602,-2.05950143369176,36.984264874552,7.08395718346664,18.154424432497,25.3839943847073,5.3820838859756,220.003,44.491,3.113,62.0675626602109,105.462,22.0373333333333,31.9043333333333,101.544333333333,63,36.5247,-115.8987,56,"genotype"
"Lee4","Lee4",15.2335178516988,12.627364306019,38.0395578723836,790.266613089371,33.4065268817204,0.2111770609319,33.1953498207885,7.5562289934142,18.09015,25.377345041816,6.07744936378457,226.441,47.133,0.875333333333333,64.6939564776678,106.615,16.412,41.7953333333333,105.222666666667,64,35.4564,-115.52,57,"genotype"
"Leger 1","Leger1",11.071168200043,15.8628243689343,43.0708059145503,767.368483384362,32.5155913978495,-4.3140523297491,36.8296437275986,2.191114078547,20.7238278375149,20.8988037634409,2.191114078547,308.124666666667,54.288,5.64266666666667,68.7560982810711,157.059666666667,19.4206666666667,24.4016666666667,157.059666666667,65,39.49,-119.84,60,"genotype"
"Maron1","Maron1",7.74983941243504,14.0874237110164,37.5200241083071,846.363163835385,30.1107419354839,-7.43567240143369,37.5464143369176,11.5412759856631,17.9619570489845,18.3972181600956,-2.34728088072579,395.925666666667,55.1463333333333,22.5426666666667,28.1633680461611,136.302666666667,72.667,101.054333333333,92.4136666666667,66,46.68,-114.03,61,"genotype"
"Maron2","Maron2",6.13247892878478,14.9060158360112,39.7105815981074,821.212048086894,28.2909462365591,-9.24568817204301,37.5366344086022,9.5934752688172,16.1459952807646,16.4290249103943,-3.69670961341526,404.582333333333,57.1016666666667,19.0183333333333,34.4935762259269,146.917,67.311,95.6066666666667,91.3173333333333,67,46.64,-113.23,62,"genotype"
"Porensky30","Porensky30",7.55439203516841,14.1994305961651,39.2323070686221,817.809255534157,27.558376344086,-8.63483189964158,36.1932082437276,10.750545041816,-2.02532702061668,18.1584078853047,-2.02532702061668,525.040666666667,83.972,15.5503333333333,49.9812690605194,209.525666666667,51.2113333333333,166.625666666667,51.2113333333333,71,40.63,-105.27,63,"genotype"
"Pyke21","Pyke21",9.73925446678702,11.9610540388056,33.2808966036576,902.858771866101,30.584623655914,-5.3550752688172,35.9396989247312,-0.603942712066906,20.5371149342891,20.8156075268817,-1.21726014957831,279.617333333333,49.5026666666667,6.08533333333333,52.8199113487092,120.802333333333,23.0293333333333,34.6553333333333,112.329,74,47.61803776,-119.6830115,64,"genotype"
"Pyke3","Pyke3",10.2787130256796,14.3570441352384,41.9425077778472,712.443623860371,30.9865483870968,-3.24374659498208,34.2302949820789,2.72867186379928,19.4397614097969,19.4397614097969,2.11404063318443,345.947,43.7813333333333,7.92033333333333,45.2452953610031,125.385333333333,26.8246666666667,26.8246666666667,114.997333333333,72,44.60456358,-120.1924183,65,"genotype"
"Pyke8","Pyke8",11.395040333763,12.8621671860562,36.2986165408314,851.289153761027,32.1848924731183,-3.24942544802867,35.434317921147,1.60187317801673,21.5065641577061,21.9529734169654,1.13552704592404,223.307333333333,33.0826666666667,3.61833333333333,48.618313392153,91.563,16.3606666666667,24.5426666666667,85.2096666666667,73,46.74830998,-119.361636,66,"genotype"
"Pyle001","Pyle1",10.6857667596565,15.0203182497013,39.2693427566964,831.375659505701,33.2997634408602,-4.94971362007168,38.2494770609319,9.29964289127838,21.2656096774194,21.3757281959379,1.1294839442414,270.736666666667,39.0396666666667,3.50933333333333,48.8863765696408,96.4203333333333,17.0683333333333,31.443,85.2626666666667,75,42.35,-118.65,67,"genotype"
