"SiteCode","climYr","prcp.Spr","tmean.Spr","swe_mean.Spr","prcp.Sum","tmean.Sum","swe_mean.Sum","prcp.Win","tmean.Win","swe_mean.Win","prcp.Fall","tmean.Fall","swe_mean.Fall"
"Pearlwise",2023,122.66,12.1224175824176,0.214505494505494,53,20.2237222222222,0,136.47,-0.527258064516129,3.42,199.92,3.25445054945055,12.9543956043956
"Pearlwise",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,119.39,5.60752747252747,4.0167032967033
"Peavine",2020,31.86,12.5937362637363,0,14.76,20.8355,0,70.62,2.79375,0.0241304347826087,NA,NA,NA
"Peavine",2021,41.14,14.4995604395604,0,13.3,21.2117222222222,0,102.12,2.52182795698925,1.1941935483871,107.6,6.28192307692308,0.00637362637362637
"Peavine",2022,44.8,11.6958241758242,0,81.92,21.0681111111111,0,19.62,3.36102150537634,0.116989247311828,484.54,5.62642857142857,0.491758241758242
"Peavine",2023,193.44,11.6988461538462,1.36769230769231,63.8,19.3062777777778,0,543.62,-0.573118279569892,13.1439784946237,277.78,4.50846153846154,1.28923076923077
"Peavine",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,6.17565934065934,0
"Plymouth",2020,37.48,13.9961538461538,0,23.9,21.2856666666667,0,141.24,3.91201086956522,0.835652173913044,NA,NA,NA
"Plymouth",2021,37,15.2610989010989,0,3.3,21.6496111111111,0,156.72,3.64064516129032,0.633333333333334,121.44,7.0271978021978,1.74758241758242
"Plymouth",2022,35.26,13.474010989011,0,26.16,22.1426666666667,0,26.2,4.18908602150538,0.185806451612903,493.34,7.03565934065934,0.506923076923077
"Plymouth",2023,144.38,13.5844505494505,2.10461538461538,102.62,20.8141111111111,0,818.64,0.381774193548387,18.5155913978495,400.32,5.31335164835165,0.454615384615385
"Plymouth",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.8,7.01104395604396,0.0145054945054945
"RedBluff",2020,156.28,10.7709340659341,0.103956043956044,55.35,18.1317777777778,0,83.87,-0.575597826086956,2.9154347826087,NA,NA,NA
"RedBluff",2021,155.75,11.768956043956,0,88.02,18.8301111111111,0,66.04,-1.58494623655914,9.91161290322581,50.8,2.6167032967033,2.54923076923077
"RedBluff",2022,266.23,9.57192307692308,4.98131868131869,81.66,19.7242777777778,0,45.02,-1.15870967741936,37.4278494623656,139.12,4.08945054945055,0.896593406593407
"RedBluff",2023,268.82,11.3299450549451,2.95681318681319,115.26,18.0137222222222,0,119.62,-3.23209677419355,14.1148387096774,122.96,-0.242032967032967,19.39
"RedBluff",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.25,3.60087912087912,2.37945054945055
"Rush_Valley",2020,39.09,13.5240659340659,0,4.37,21.7098333333333,0,71.92,1.55152173913043,5.03978260869566,NA,NA,NA
