site_code,bioclim_1,bioclim_2,bioclim_3,bioclim_4,bioclim_5,bioclim_6,bioclim_7,bioclim_8,bioclim_9,bioclim_10,bioclim_11,bioclim_12,bioclim_13,bioclim_14,bioclim_15,bioclim_16,bioclim_17,bioclim_18,bioclim_19,site,lat,lon
PMR- Pine 2022,7.554392035168412,14.199430596165051,39.23230706862208,817.8092555341573,27.55837634408602,-8.634831899641577,36.1932082437276,10.750545041816011,-2.025327020616676,18.15840788530466,-2.025327020616676,525.0406666666668,83.972,15.550333333333333,49.981269060519345,209.52566666666667,51.21133333333333,166.62566666666666,51.21133333333333,PMR- Pine 2022,40.625,-105.271
Pearlwise 2024,9.277585120886817,13.743925639011012,38.14175655058019,798.3321956687075,30.632322580645162,-5.401481003584229,36.03380358422939,7.631417921146952,19.58298219832736,19.58298219832736,0.23838301640270507,354.8013333333334,47.63066666666667,4.930000000000001,49.428120383688935,124.15066666666667,21.78366666666667,21.78366666666667,120.241,Pearlwise 2024,42.33939,-118.80428
Peavine 2022,9.723644261517794,14.342316454423198,41.3318104863609,747.5975779261654,30.00252688172043,-4.697904301075269,34.7004311827957,1.2395763889624565,19.31433458781362,19.337330884109914,1.2395763889624565,365.9243333333333,62.791666666666664,7.415333333333334,65.68319593843384,180.45333333333335,25.814666666666668,31.88433333333333,180.45333333333335,Peavine 2022,39.591003,-119.878406
Peavine 2024,9.723644261517794,14.342316454423198,41.3318104863609,747.5975779261654,30.00252688172043,-4.697904301075269,34.7004311827957,1.2395763889624565,19.31433458781362,19.337330884109914,1.2395763889624565,365.9243333333333,62.791666666666664,7.415333333333334,65.68319593843384,180.45333333333335,25.814666666666668,31.88433333333333,180.45333333333335,Peavine 2024,39.591003,-119.878406
Plymouth 2022,10.824348518893716,17.43854397235906,46.386216527967925,740.5253915235751,32.67867741935484,-4.915559139784946,37.59423655913979,2.1890713754553857,20.102817921146954,20.25247347670251,2.1890713754553857,315.96866666666665,57.220333333333336,3.438,74.8474831755391,162.63299999999998,13.026333333333334,17.734666666666666,162.63299999999998,Plymouth 2022,39.072101,-119.783711
Plymouth 2024,10.824348518893716,17.43854397235906,46.386216527967925,740.5253915235751,32.67867741935484,-4.915559139784946,37.59423655913979,2.1890713754553857,20.102817921146954,20.25247347670251,2.1890713754553857,315.96866666666665,57.220333333333336,3.438,74.8474831755391,162.63299999999998,13.026333333333334,17.734666666666666,162.63299999999998,Plymouth 2024,39.072101,-119.783711
RedBluff 2023,7.298687918748639,14.000626047313006,37.39627585361826,845.0552975119456,28.859408602150538,-8.579148387096774,37.43855698924731,10.764709438470726,-2.8067900812778457,17.957088829151733,-2.8067900812778457,478.73566666666665,79.705,17.717666666666666,51.216999227494085,216.09933333333333,63.594,141.47099999999998,63.594,RedBluff 2023,45.579969,-111.664617
Rush_Valley 2022,9.532903632747438,15.577515931208103,38.250779951257655,910.2672109339798,32.50491397849462,-8.219787455197132,40.72470143369175,8.379717682198327,21.25062102747909,21.25062102747909,-1.2556134259994935,385.52633333333324,43.651666666666664,16.304666666666666,31.885343915034912,124.61333333333333,52.39833333333333,52.39833333333333,121.297,Rush_Valley 2022,40.0906,-112.305
SSHQ 2022,6.198325580929134,14.051744765568445,34.60782570186558,967.3135057007672,29.396064516129034,-11.2067311827957,40.60279569892474,10.592278315412186,17.723103584229392,18.096429510155318,-5.735435489903538,307.5356666666667,48.39833333333333,13.986666666666666,37.27318717847369,118.58133333333333,52.144666666666666,68.14066666666668,67.53933333333333,SSHQ 2022,44.246799,-112.213263
SSHQ 2023,6.198325580929134,14.051744765568445,34.60782570186558,967.3135057007672,29.396064516129034,-11.2067311827957,40.60279569892474,10.592278315412186,17.723103584229392,18.096429510155318,-5.735435489903538,307.5356666666667,48.39833333333333,13.986666666666666,37.27318717847369,118.58133333333333,52.144666666666666,68.14066666666668,67.53933333333333,SSHQ 2023,44.246799,-112.213263
SSHQ 2024,6.198325580929134,14.051744765568445,34.60782570186558,967.3135057007672,29.396064516129034,-11.2067311827957,40.60279569892474,10.592278315412186,17.723103584229392,18.096429510155318,-5.735435489903538,307.5356666666667,48.39833333333333,13.986666666666666,37.27318717847369,118.58133333333333,52.144666666666666,68.14066666666668,67.53933333333333,SSHQ 2024,44.246799,-112.213263
SSHigh 2022,5.459321932805999,12.944195734384472,33.54650248483219,935.0809528769128,27.531333333333333,-11.054494623655915,38.58582795698925,9.474869295101554,16.76589964157706,17.05895519713262,-5.918030847031681,427.5683333333334,60.937000000000005,18.320333333333334,32.967709176247574,152.17666666666668,66.42066666666666,86.91833333333334,108.92266666666666,SSHigh 2022,44.295988,-112.096947
SSHigh 2023,5.459321932805999,12.944195734384472,33.54650248483219,935.0809528769128,27.531333333333333,-11.054494623655915,38.58582795698925,9.474869295101554,16.76589964157706,17.05895519713262,-5.918030847031681,427.5683333333334,60.937000000000005,18.320333333333334,32.967709176247574,152.17666666666668,66.42066666666666,86.91833333333334,108.92266666666666,SSHigh 2023,44.295988,-112.096947
SSHigh 2024,5.459321932805999,12.944195734384472,33.54650248483219,935.0809528769128,27.531333333333333,-11.054494623655915,38.58582795698925,9.474869295101554,16.76589964157706,17.05895519713262,-5.918030847031681,427.5683333333334,60.937000000000005,18.320333333333334,32.967709176247574,152.17666666666668,66.42066666666666,86.91833333333334,108.92266666666666,SSHigh 2024,44.295988,-112.096947
SouthEden 2022,5.493026760222999,14.264970443276185,36.40606900041233,905.1088043989246,27.569602150537634,-11.613344086021506,39.18294623655914,4.502513261648746,16.831001612903226,16.831001612903226,-5.547166674759139,452.3996666666667,55.49033333333333,14.250666666666666,30.466644693909142,141.26633333333334,64.26266666666666,64.26266666666666,134.90066666666667,SouthEden 2022,41.926717,-111.275659
SouthEden 2023,5.493026760222999,14.264970443276185,36.40606900041233,905.1088043989246,27.569602150537634,-11.613344086021506,39.18294623655914,4.502513261648746,16.831001612903226,16.831001612903226,-5.547166674759139,452.3996666666667,55.49033333333333,14.250666666666666,30.466644693909142,141.26633333333334,64.26266666666666,64.26266666666666,134.90066666666667,SouthEden 2023,41.926717,-111.275659
SouthEden 2024,5.493026760222999,14.264970443276185,36.40606900041233,905.1088043989246,27.569602150537634,-11.613344086021506,39.18294623655914,4.502513261648746,16.831001612903226,16.831001612903226,-5.547166674759139,452.3996666666667,55.49033333333333,14.250666666666666,30.466644693909142,141.26633333333334,64.26266666666666,64.26266666666666,134.90066666666667,SouthEden 2024,41.926717,-111.275659
Symstad1 2021,8.720845027175992,15.056582876623644,36.8548731449612,963.8309168177301,30.822247311827958,-10.031462365591398,40.85370967741936,17.957956033452806,-1.4406190561529268,20.9770743130227,-2.877473535262579,496.73,91.20266666666667,10.652666666666667,66.67696730538565,241.43,35.57966666666667,194.52599999999998,38.71466666666666,Symstad1 2021,43.35653,-103.541
