"site1","site2","kinship_avg","lat1","lon1","lat2","lon2"
"EnsingS2 Summerland-Princeton 2022","AAFC5",0.824223336228927,NA,NA,50.09,-120.45
"EnsingS3 Bear Creek 2022","AAFC5",0.806652052252736,NA,NA,50.09,-120.45
"EnsingS4 Lundbom 2022","AAFC5",0.824027579029641,NA,NA,50.09,-120.45
"FAR NORTH CPER 2022","AAFC5",0.786697777939228,NA,NA,50.09,-120.45
"FtK_Cottonwood_Coulee 2021","AAFC5",0.78712740587174,NA,NA,50.09,-120.45
"FtK_Lone_Pine 2021","AAFC5",0.784568696437055,NA,NA,50.09,-120.45
"GoeblS1 2024","AAFC5",0.783265705904881,NA,NA,50.09,-120.45
"GreenCanyon 2021","AAFC5",0.793574693090825,NA,NA,50.09,-120.45
"HPGRS AGCR 2022","AAFC5",0.798527746392149,NA,NA,50.09,-120.45
"HardwareRanch 2022","AAFC5",0.801337979540893,NA,NA,50.09,-120.45
"K1_vanDiepen 2022","AAFC5",0.800037164739216,NA,NA,50.09,-120.45
"L1_vanDiepen 2022","AAFC5",0.800486513478423,NA,NA,50.09,-120.45
"MPG_IR 2021","AAFC5",0.801779769256684,NA,NA,50.09,-120.45
"MPG_SR 2021","AAFC5",0.801178857663218,NA,NA,50.09,-120.45
"MPG_TH 2021","AAFC5",0.80151700134121,NA,NA,50.09,-120.45
"NEAR 4WAY CPER 2022","AAFC5",0.784424533110241,NA,NA,50.09,-120.45
"NEAR HQ CPER 2022","AAFC5",0.787616229211849,NA,NA,50.09,-120.45
"NEAR NUTNET 2022","AAFC5",0.786122044219458,NA,NA,50.09,-120.45
"OttS1 2022","AAFC5",0.798784139563479,NA,NA,50.09,-120.45
"PMR- Brome 2021","AAFC5",0.809555085543377,NA,NA,50.09,-120.45
"Pearlwise 2024","AAFC5",0.787584875227403,NA,NA,50.09,-120.45
"Peavine 2022","AAFC5",0.779387393659845,NA,NA,50.09,-120.45
"Plymouth 2022","AAFC5",0.761158092120149,NA,NA,50.09,-120.45
"RedBluff 2023","AAFC5",0.810692036718292,NA,NA,50.09,-120.45
"Rush_Valley 2022","AAFC5",0.777129407032674,NA,NA,50.09,-120.45
"SSHQ 2022","AAFC5",0.785090520499966,NA,NA,50.09,-120.45
"SSHigh 2022","AAFC5",0.792417985452476,NA,NA,50.09,-120.45
"SouthEden 2022","AAFC5",0.799133608576435,NA,NA,50.09,-120.45
"Symstad1 2021","AAFC5",0.792763184234568,NA,NA,50.09,-120.45
"Symstad2 2022","AAFC5",0.791597901787865,NA,NA,50.09,-120.45
"TB FIRE 2022","AAFC5",0.790215961423331,NA,NA,50.09,-120.45
"TB LC Control 2022","AAFC5",0.789481105251182,NA,NA,50.09,-120.45
"TB PRAIRIE DOG 2022","AAFC5",0.789717319408173,NA,NA,50.09,-120.45
"Woodruff 2022","AAFC5",0.793833436697955,NA,NA,50.09,-120.45
"dino 2024","AAFC5",0.748735241965188,NA,NA,50.09,-120.45
"AAFC4","AAFC6",0.746383486198972,50.08,-120.65,50.09,-120.75
"AAFC5","AAFC6",0.663658680244957,50.09,-120.45,50.09,-120.75
"AAFC6","AAFC6",1,50.09,-120.75,50.09,-120.75
"AAFC8","AAFC6",0.684028662245634,49.57,-120.55,50.09,-120.75
"AAFC9","AAFC6",0.646180973737068,49.62,-119.8,50.09,-120.75
"AAFC10","AAFC6",0.646315773125281,49.71,-120.05,50.09,-120.75
"Adler5","AAFC6",0.660131905874076,40.79,-111.87,50.09,-120.75
"Schupp2","AAFC6",0.67172311247556,40.2,-112.46,50.09,-120.75
"Schupp1","AAFC6",0.676460950719081,39.85,-112.15,50.09,-120.75
"Adler13","AAFC6",0.699012082955167,41.44,-111.08,50.09,-120.75
"Adler16","AAFC6",0.690795665490192,41.78,-110.2,50.09,-120.75
"Adler17","AAFC6",0.691032673289595,41.44,-110.11,50.09,-120.75
"Adler18","AAFC6",0.658414523831391,40.86,-114.22,50.09,-120.75
"Barnett1","AAFC6",0.649864284851151,43.48,-110.74,50.09,-120.75
"Baughman3","AAFC6",0.680662349215225,42.81,-118.96,50.09,-120.75
"Baughman2","AAFC6",0.679015156535501,43.05,-118.87,50.09,-120.75
"Chynoweth1","AAFC6",0.692846883686474,39.76604,-109.5635,50.09,-120.75
"Board1","AAFC6",0.655729129795689,38.84,-117.57,50.09,-120.75
"Bradford1","AAFC6",0.655298330194344,35.23,-111.62,50.09,-120.75
"Chambers1","AAFC6",0.619284801596655,39.55,-119.58,50.09,-120.75
"Chambers2","AAFC6",0.612914249791817,39.95,-118.76,50.09,-120.75
"Urza1","AAFC6",0.613065616929149,40.35,-119.34,50.09,-120.75
"Chambers4","AAFC6",0.612806742400089,41.31,-117.63,50.09,-120.75
"Chambers5","AAFC6",0.60953495958562,41.54,-117.75,50.09,-120.75
"Chambers6","AAFC6",0.609490917438,41.54,-117.78,50.09,-120.75
"Chambers7","AAFC6",0.697698422222656,43.94,-116.19,50.09,-120.75
"Chambers8","AAFC6",0.671399865688872,42.24,-114.57,50.09,-120.75
"Chambers9","AAFC6",0.692908254298297,40.66,-116.73,50.09,-120.75
"Copeland1","AAFC6",0.692872226284141,43.7,-117.33,50.09,-120.75
"Copeland5","AAFC6",0.650594595486986,42.27,-118.71,50.09,-120.75
"Copeland9","AAFC6",0.691039129355139,43.47,-119.68,50.09,-120.75
"Downs1","AAFC6",0.647814818946696,46.38145,-119.430272,50.09,-120.75
"Downs2","AAFC6",0.65283981170392,46.25045,-119.53334,50.09,-120.75
"Downs3","AAFC6",0.617460122680357,45.9663,-120.3671,50.09,-120.75
"Fleishman1","AAFC6",0.699986891132831,38.47,-119.49,50.09,-120.75
"Fleishman5","AAFC6",0.672521491636686,39.12,-117.27,50.09,-120.75
"Fleishman7","AAFC6",0.655546125867233,39.17,-117.44,50.09,-120.75
"Getts1","AAFC6",0.644267050152595,41.17,-120.5,50.09,-120.75
"Getts3","AAFC6",0.65985144847153,40.43,-120.67,50.09,-120.75
"Holdrege1","AAFC6",0.649683971730756,41.61,-111.57,50.09,-120.75
"Hufft1","AAFC6",0.675354859174666,38.6701,-108.3286,50.09,-120.75
"Lavin1","AAFC6",0.69028728309828,44.68,-109.07,50.09,-120.75
"Lavin2","AAFC6",0.669085757980835,45.67,-111.03,50.09,-120.75
"Lee1","AAFC6",0.612878029366107,36.82340833,-116.0163889,50.09,-120.75
"Lee2","AAFC6",0.605878257890895,35.3984,-115.7845,50.09,-120.75
"Lee3","AAFC6",0.612800419183493,36.5247,-115.8987,50.09,-120.75
"Lee4","AAFC6",0.608729597127317,35.4564,-115.52,50.09,-120.75
"Leger1","AAFC6",0.622385297234089,39.49,-119.84,50.09,-120.75
"Maron1","AAFC6",0.709110776724163,46.68,-114.03,50.09,-120.75
"Maron2","AAFC6",0.690787170963815,46.64,-113.23,50.09,-120.75
"Porensky30","AAFC6",0.668676741860618,40.63,-105.27,50.09,-120.75
"Pyke3","AAFC6",0.675071424025519,44.60456358,-120.1924183,50.09,-120.75
"Pyke8","AAFC6",0.638154108417504,46.74830998,-119.361636,50.09,-120.75
"Pyke21","AAFC6",0.675276923964051,47.61803776,-119.6830115,50.09,-120.75
"Pyle1","AAFC6",0.73232468826489,42.35,-118.65,50.09,-120.75
"Pyle9","AAFC6",0.690793066702302,43.42,-119.62,50.09,-120.75
"Pyle10","AAFC6",0.67265505739341,43.19,-120,50.09,-120.75
"Pyle15","AAFC6",0.667936897142611,43.8,-119,50.09,-120.75
"Pyle17","AAFC6",0.658500877031402,44.36,-118.93,50.09,-120.75
"Pyle19","AAFC6",0.739046360623544,44.57,-119.65,50.09,-120.75
"Reed1","AAFC6",0.68734337574136,38.52,-109.47,50.09,-120.75
"Reed3","AAFC6",0.727936012181831,38.75,-109.79,50.09,-120.75
"Schupp3","AAFC6",0.683299320195179,38.6,-113.79,50.09,-120.75
"Schupp4","AAFC6",0.692761445627783,38.52,-113.55,50.09,-120.75
"Schupp5","AAFC6",0.682932006603882,39.11,-112.74,50.09,-120.75
"Symstad1","AAFC6",0.6784687235333,44.59,-104.71,50.09,-120.75
"Symstad2","AAFC6",0.65693517900004,43.87,-103.46,50.09,-120.75
"Symstad3","AAFC6",0.722435852228072,43.62,-103.47,50.09,-120.75
"Urza2","AAFC6",0.683788504835982,40.84,-119.56,50.09,-120.75
"Wilcox2","AAFC6",0.64350096680697,41.31,-105.66,50.09,-120.75
"Chynoweth2","AAFC6",0.672901403023402,40.29092,-109.68361,50.09,-120.75
"Chynoweth3","AAFC6",0.643808057936422,39.83576,-109.61202,50.09,-120.75
"Chynoweth5","AAFC6",0.683490208128864,40.480805,-109.438229,50.09,-120.75
"Chynoweth7","AAFC6",0.693276617682918,40.533605,-109.523564,50.09,-120.75
"Chynoweth8","AAFC6",0.672530744150971,40.640878,-109.48689,50.09,-120.75
"Shriver2","AAFC6",0.64993556796939,48,-114.04,50.09,-120.75
"Davies03","AAFC6",0.655520810005618,42.68,-118.68,50.09,-120.75
"GerminoBOP1","AAFC6",0.72750782076122,43.4720833,-116.2338306,50.09,-120.75
"Mancillas01","AAFC6",0.740843446735544,32.368,-106.56,50.09,-120.75
"Boise_High 2022","AAFC6",0.744699648761914,NA,NA,50.09,-120.75
"Boise_Low 2022","AAFC6",0.730035565818589,NA,NA,50.09,-120.75
"CG PASTURE 2022","AAFC6",0.772522464649662,NA,NA,50.09,-120.75
"CaseAoyamaS1 2022","AAFC6",0.753684281008071,NA,NA,50.09,-120.75
"CastValley 2021","AAFC6",0.743895623337005,NA,NA,50.09,-120.75
"EOARC 2022","AAFC6",0.753274396017517,NA,NA,50.09,-120.75
"EnsingS1 SuRDC 2022","AAFC6",0.7684947406991,NA,NA,50.09,-120.75
"EnsingS2 Summerland-Princeton 2022","AAFC6",0.739689110033741,NA,NA,50.09,-120.75
"EnsingS3 Bear Creek 2022","AAFC6",0.737522496055622,NA,NA,50.09,-120.75
"EnsingS4 Lundbom 2022","AAFC6",0.74555737500679,NA,NA,50.09,-120.75
"FAR NORTH CPER 2022","AAFC6",0.775582185940918,NA,NA,50.09,-120.75
"FtK_Cottonwood_Coulee 2021","AAFC6",0.775020755396316,NA,NA,50.09,-120.75
"FtK_Lone_Pine 2021","AAFC6",0.774948485531566,NA,NA,50.09,-120.75
"GoeblS1 2024","AAFC6",0.75744976182366,NA,NA,50.09,-120.75
"GreenCanyon 2021","AAFC6",0.768810629676919,NA,NA,50.09,-120.75
"HPGRS AGCR 2022","AAFC6",0.773052022547721,NA,NA,50.09,-120.75
"HardwareRanch 2022","AAFC6",0.763639554398014,NA,NA,50.09,-120.75
"K1_vanDiepen 2022","AAFC6",0.755503377734128,NA,NA,50.09,-120.75
"L1_vanDiepen 2022","AAFC6",0.771965733337959,NA,NA,50.09,-120.75
"MPG_IR 2021","AAFC6",0.767933401074929,NA,NA,50.09,-120.75
"MPG_SR 2021","AAFC6",0.769365621024547,NA,NA,50.09,-120.75
"MPG_TH 2021","AAFC6",0.76879279993048,NA,NA,50.09,-120.75
"NEAR 4WAY CPER 2022","AAFC6",0.775695104180295,NA,NA,50.09,-120.75
"NEAR HQ CPER 2022","AAFC6",0.77557970469658,NA,NA,50.09,-120.75
