"Category","ID","Latitude","Longitude","Date","SMAP_Tile","SPL3SMP_E_006_Line_Y_9km","SPL3SMP_E_006_Sample_X_9km","SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_AM_soil_moisture","SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_AM_soil_moisture_dca","SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_AM_soil_moisture_scah","SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_AM_soil_moisture_scav","SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_AM_surface_temperature","SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_PM_clay_fraction_pm","SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_PM_soil_moisture_dca_pm","SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_PM_soil_moisture_error_pm","SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm","SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_PM_soil_moisture_scah_pm","SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_PM_soil_moisture_scav_pm","SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_PM_surface_temperature_pm","SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_PM_vegetation_water_content_pm"
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-02-22","h00v00",255,674,-9999,-9999,-9999,-9999,274.5535583,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-02-23","h00v00",255,674,0.1286122,0.1286122,0.0592787,0.1127471,274.9867859,0.2238095,0.1962354,-9999,0.1962354,0.123787,0.1682396,275.1973572,0.3164879
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-02-24","h00v00",255,674,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-02-25","h00v00",255,674,-9999,-9999,-9999,-9999,274.6434021,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-02-26","h00v00",255,674,-9999,-9999,-9999,-9999,-9999,0.2238095,0.1899251,-9999,0.1899251,0.1142651,0.1627819,275.4190369,0.323106
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-02-27","h00v00",255,674,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-02-28","h00v00",255,674,0.1310676,0.1310676,0.0661095,0.1148137,275.7772522,0.2238095,0.189977,-9999,0.189977,0.1207511,0.1630325,279.9803772,0.324842
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-02-29","h00v00",255,674,-9999,-9999,-9999,-9999,-9999,0.2238095,0.209485,-9999,0.209485,0.1252516,0.1779473,282.6834106,0.325753
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-03-01","h00v00",255,674,0.1290566,0.1290566,0.0572475,0.1131513,276.1637573,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-03-02","h00v00",255,674,0.1209293,0.1209293,0.0513002,0.1074852,275.8122864,0.2238095,0.180629,-9999,0.180629,0.109306,0.1554918,277.6187134,0.3274924
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-03-03","h00v00",255,674,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-03-04","h00v00",255,674,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-03-05","h00v00",255,674,-9999,-9999,-9999,-9999,-9999,0.2238095,0.1928204,-9999,0.1928204,0.1020851,0.1582214,282.8962402,0.3341553
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-03-06","h00v00",255,674,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-03-07","h00v00",255,674,0.1750386,0.1750386,0.098277,0.1480354,279.777832,0.2238095,0.1991821,-9999,0.1991821,0.111665,0.1658731,286.8946228,0.3439732
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-03-08","h00v00",255,674,-9999,-9999,-9999,-9999,-9999,0.2238095,0.1913426,-9999,0.1913426,0.0928481,0.1540875,281.833374,0.3489192
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-03-09","h00v00",255,674,0.1616899,0.1616899,0.0723569,0.1347228,278.0635376,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-03-10","h00v00",255,674,0.1720711,0.1720711,0.0775376,0.141153,277.3280945,0.2238095,0.1644223,-9999,0.1644223,0.0914779,0.1403276,280.3467712,0.3589401
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-03-11","h00v00",255,674,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-03-12","h00v00",255,674,0.1606649,0.1606649,0.0702066,0.1340346,278.2431641,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-03-13","h00v00",255,674,-9999,-9999,-9999,-9999,-9999,0.2238095,0.1549515,-9999,0.1549515,0.0913692,0.1349963,282.8696289,0.3742078
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-03-14","h00v00",255,674,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-03-15","h00v00",255,674,0.2160933,0.2160933,0.1091594,0.1720768,278.0427551,0.2238095,0.1994448,-9999,0.1994448,0.1038827,0.1622913,280.8903809,0.3869245
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-03-16","h00v00",255,674,-9999,-9999,-9999,-9999,-9999,0.2238095,0.2159858,-9999,0.2159858,0.1262516,0.1813753,281.1473999,0.3945269
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-03-17","h00v00",255,674,0.2206089,0.2206089,0.1247245,0.1824064,278.5466614,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-03-18","h00v00",255,674,-9999,-9999,-9999,-9999,-9999,0.2238095,0.2157206,-9999,0.2157206,0.1404933,0.188045,282.3128052,0.4098925
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-03-19","h00v00",255,674,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-03-20","h00v00",255,674,0.1717291,0.1717291,0.1009502,0.1475344,277.5307922,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-03-21","h00v00",255,674,-9999,-9999,-9999,-9999,-9999,0.2238095,0.1892419,-9999,0.1892419,0.1212276,0.1663858,283.7975159,0.4333192
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-03-22","h00v00",255,674,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-03-23","h00v00",255,674,0.1652534,0.1652534,0.1033635,0.1449984,279.921936,0.2238095,0.1780926,-9999,0.1780926,0.1115498,0.1558479,286.1908569,0.4491629
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-03-24","h00v00",255,674,-9999,-9999,-9999,-9999,-9999,0.2238095,0.1823233,-9999,0.1823233,0.10699,0.1558378,283.7898254,0.4571481
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-03-25","h00v00",255,674,0.1655832,0.1655832,0.0924958,0.1415462,278.0708313,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-03-26","h00v00",255,674,-9999,-9999,-9999,-9999,-9999,0.2238095,0.1735155,-9999,0.1735155,0.1075261,0.1514427,279.9990234,0.4651429
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-03-27","h00v00",255,674,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-03-28","h00v00",255,674,0.1571329,0.1571329,0.0840229,0.1348281,277.434845,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-03-29","h00v00",255,674,-9999,-9999,-9999,-9999,-9999,0.2238095,0.1650845,-9999,0.1650845,0.1035144,0.1448813,282.553772,0.4772568
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-03-30","h00v00",255,674,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
