"SiteCode","UniqueID","SampleDescription","pH","EC","OMpercent","Protein_g.kg","X..Sand","X..Clay","X..Silt","site_old"
"GoeblS1",119,"AG 01 W #1",7.3,405.1,4.05,4.14,66.3595307317411,12.616364469792,21.0241047984669,"GoeblS1"
"GoeblS1",120,"AG 01 S #2",6.62,266.2,3.48,3.82,66.3595307317411,12.616364469792,21.0241047984669,"GoeblS1"
"GoeblS1",121,"AG 01 N+E #3",7.48,321.3,3.34,3.07,66.3595307317411,12.616364469792,21.0241047984669,"GoeblS1"
"Rush_Valley",122,"Rush Valley Satellite Site #1",8.31,204.4,2.71,1.72,52.144,12,35.856,"Rush_Valley"
"RedBluff",123,"REW SOIL RB #1",7.9,196.1,4.3,6.02,53.7888044028449,17.746461104375,28.4647344927801,"RedBluff"
"RedBluff",124,"REW SOIL RB #2",7.32,153.5,4.58,7.26,53.7888044028449,17.746461104375,28.4647344927801,"RedBluff"
"RedBluff",125,"REW SOIL RB #3",7.75,223.8,3.99,4.33,53.7888044028449,17.746461104375,28.4647344927801,"RedBluff"
"Boise_Low",126,"MaxWell SI Witson 5/13/21 Boise low #1",7.66,64.77,1.66,1.29,78.072,8.072,13.856,"Boise_Low"
"Boise_Low",127,"MaxWell SI Witson 5/13/21 Boise low #2",7.19,41.25,1.13,1.18,78.072,8.072,13.856,"Boise_Low"
"Boise_Low",128,"MaxWell SI Witson 5/13/21 Boise low #3",7.2,76.93,1.84,1.35,78.072,8.072,13.856,"Boise_Low"
"Boise_High",129,"Maxwell S2 7/11/21 Boise Hi #1",6.96,81.91,2.9,2.06,70.072,12.144,17.784,"Boise_High"
"Boise_High",130,"Maxwell S2 7/11/21 Boise Hi #2",6.83,102.4,2.68,3.51,70.072,12.144,17.784,"Boise_High"
"Boise_High",131,"Maxwell S2 7/11/21 Boise Hi #3",6.91,80.37,2.87,2.59,70.072,12.144,17.784,"Boise_High"
"Symstad1",132,"Symstads (septic) #1",8.04,228.9,4.59,3.56,46.216,18.072,35.712,"Symstad1"
"Symstad1",133,"Symstads (septic) #2",8.01,203.4,4.83,3.56,46.216,18.072,35.712,"Symstad1"
"Symstad1",134,"Symstads (septic) #3",8.04,195.4,4.62,4.06,46.216,18.072,35.712,"Symstad1"
"MPG_TH",135,"MPG-TH 7/26/21 #1",6.12,108.9,2.6,3.93,63.2414446963869,10.4486865435113,26.3098687601018,"MPG_TH"
"MPG_TH",136,"MPG-TH 7/26/21 #2",5.83,100.4,3.14,4.37,63.2414446963869,10.4486865435113,26.3098687601018,"MPG_TH"
"MPG_TH",137,"MPG-TH 7/26/21 #3",5.86,84.09,3.17,7.53,63.2414446963869,10.4486865435113,26.3098687601018,"MPG_TH"
"MPG_SR",138,"MPG-SR 7/26/21 #1",6.34,163.5,3.08,5.95,60.216,12,27.784,"MPG_SR"
"MPG_SR",139,"MPG-SR 7/26/21 #2",6.41,191.3,4.91,6.27,60.216,12,27.784,"MPG_SR"
"MPG_SR",140,"MPG-SR 7/26/21 #3",6.33,191.6,5.26,8.17,60.216,12,27.784,"MPG_SR"
"OttS1",141,"OTTSI 6/22/21 #1",6.51,67.13,3.54,5.8,48,14.072,37.928,"OttS1"
"OttS1",142,"OTTSI 6/22/21 #2",6.35,57.67,3.61,5.33,48,14.072,37.928,"OttS1"
"OttS1",143,"OTTSI 6/22/21 #3",6.25,57.32,3.68,5.35,48,14.072,37.928,"OttS1"
"Barton_burned",144,"Barton Burned site #1",8.16,222.1,2.75,2.56,40.072,12.072,47.856,"Barton_burned"
"Barton_burned",145,"Barton Burned site #2",7.88,178.6,3.32,4.73,40.072,12.072,47.856,"Barton_burned"
"Barton_burned",146,"Barton Burned site #3",7.77,282.7,3.71,5.48,40.072,12.072,47.856,"Barton_burned"
"Piedmont",147,"Piedmont site #1",8.19,204.6,3.29,4.09,40.072,7.928,52,"Piedmont"
"Piedmont",148,"Piedmont site #2",7.05,117.9,3.25,4.09,40.072,7.928,52,"Piedmont"
"Piedmont",149,"Piedmont site #3",7.03,161.8,3.76,4.71,40.072,7.928,52,"Piedmont"
"Barton_unburned",150,"Barton Unburned #1",6.65,167.3,3.89,4.44,48.144,10.072,41.784,"Barton_unburned"
"Barton_unburned",151,"Barton Unburned #2",7.81,141,2.35,2.55,48.144,10.072,41.784,"Barton_unburned"
"Barton_unburned",152,"Barton Unburned #3",7.11,122.6,2.64,3.15,48.144,10.072,41.784,"Barton_unburned"
"Kastilometes",153,"Kat Silo Medes #1",8.12,206.7,4.03,4.94,44,10,46,"Kastilometes"
"Kastilometes",154,"Kat Silo Medes #2",8.27,155.3,2.24,2.2,44,10,46,"Kastilometes"
"Kastilometes",155,"Kat Silo Medes #3",8.13,205.2,3.56,4.21,44,10,46,"Kastilometes"
