site,genotype,lon,lat,ann.mean.tmp,mean.diurn.rng,isotherm,tmp.seas,max.tmp.wrm.m,min.tmp.cld.m,tmp.ann.rng,mean.tmp.wet.q,mean.tmp.dry.q,mean.tmp.wrm.q,mean.tmp.cld.q,ann.prc,prc.wet.m,prc.dry.m,prc.seas,prc.wet.q,prc.dry.q,prc.wrm.q,prc.cld.q
Downs02,43,-119.53334,46.25045,12.949999809265137,12.5,0.3328900635242462,878.70001220703125,34.349998474121094,-3.25,37.599998474121094,2.75,24.149999618530273,24.25,2.049999952316284,217.5,34.20000076293945,4.300000190734863,50,92.30000305175781,17.799999237060547,24.700000762939453,85.80000305175781
Downs03,44,-120.3671,45.9663,9.75,10.399999618530273,0.3163627088069916,762.9000244140625,29.049999237060547,-3.8499999046325684,32.900001525878906,1.25,19.950000762939453,19.950000762939453,0.550000011920929,480.20001220703125,85.4000015258789,8.800000190734863,57.20000076293945,221,39.099998474121094,39.099998474121094,206
Eshleman1,10,-107.71,42.9,9.050000190734863,13,0.31838658452033997,992.20001220703125,31.75,-8.949999809265137,40.70000076293945,13.25,-3.450000047683716,22.149999618530273,-3.450000047683716,237.1999969482422,47,6.699999809265137,57.70000076293945,109.9000015258789,25.399999618530273,65.4000015258789,25.399999618530273
Fleishman_01,45,-119.49,38.47,8.25,13.800000190734863,0.3935714364051819,775.29998779296875,28.25,-6.75,35,-1.0499999523162842,18.549999237060547,18.549999237060547,-1.0499999523162842,422.8999938964844,69,12,60.400001525878906,181.10000610351562,37,37,181.10000610351562
Fleishman_05,46,-117.27,39.12,7.849999904632568,11.699999809265137,0.30254092812538147,988.4000244140625,28.850000381469727,-9.850000381469727,38.70000076293945,6.050000190734863,20.649999618530273,20.649999618530273,-4.349999904632568,240.5,30.799999237060547,12.899999618530273,23.600000381469727,77.5,43.900001525878906,50.20000076293945,58.79999923706055
Fleishman_07,47,-117.44,39.17,7.150000095367432,12.100000381469727,0.3126614987850189,971.70001220703125,28.350000381469727,-10.350000381469727,38.70000076293945,10.649999618530273,19.850000381469727,19.850000381469727,-4.75,249,33.70000076293945,13.600000381469727,24,79.69999694824219,49.099998474121094,56.599998474121094,57.900001525878906
Germino BOP 01,104,-116.2338306,43.4720833,12.949999809265137,12,0.32193922996520996,900.4000244140625,34.54999923706055,-2.75,37.29999923706055,2.6500000953674316,24.450000762939453,24.649999618530273,1.75,335.79998779296875,50,5.400000095367432,50.900001525878906,132.3000030517578,23.200000762939453,29.100000381469727,124.30000305175781
Getts1,48,-120.5,41.17,10.050000190734863,12.300000190734863,0.33561021089553833,861.0999755859375,31.350000381469727,-5.25,36.599998474121094,0.75,21.549999237060547,21.549999237060547,-0.15000000596046448,349.70001220703125,49.79999923706055,5.900000095367432,47.400001525878906,126.19999694824219,27.299999237060547,27.299999237060547,116.5
Getts3,49,-120.67,40.43,11.75,12.600000381469727,0.34520548582077026,851.29998779296875,33.349998474121094,-3.1500000953674316,36.5,2.549999952316284,22.950000762939453,22.950000762939453,1.5499999523162842,393.29998779296875,68.19999694824219,4.099999904632568,65.30000305175781,172.89999389648438,19,19,169.89999389648438
Getts4,50,-120.28,41.71,3.950000047683716,11.300000190734863,0.3114640712738037,868,24.450000762939453,-11.75,36.20000076293945,-5.449999809265137,15.449999809265137,15.449999809265137,-6.449999809265137,770.5,124.4000015258789,11.399999618530273,52.900001525878906,302.70001220703125,49.900001525878906,49.900001525878906,274.6000061035156
Holdrege1,51,-111.57,41.61,8.350000381469727,12.199999809265137,0.32039475440979004,901.79998779296875,29.549999237060547,-8.449999809265137,38,6.949999809265137,20.049999237060547,20.149999618530273,-2.75,383.8999938964844,45.5,17.100000381469727,23.399999618530273,119.69999694824219,65.5999984741211,69.0999984741211,98.0999984741211
Hufbauer01,23,-105.144169,40.559085,10.350000381469727,14.100000381469727,0.3859289586544037,829.20001220703125,30.850000381469727,-5.75,36.599998474121094,13.949999809265137,-0.15000000596046448,21.049999237060547,-0.15000000596046448,468.5,87.5,10.699999809265137,56,206.6999969482422,44.20000076293945,153.3000030517578,44.20000076293945
Hufft1,52,-108.3286,38.6701,11.149999618530273,14.699999809265137,0.37142258882522583,903.4000244140625,32.349998474121094,-7.25,39.599998474121094,22.049999237060547,-0.6499999761581421,22.549999237060547,-0.6499999761581421,297,38,13.800000190734863,32.79999923706055,108.5999984741211,46.400001525878906,90,46.400001525878906
Hufft2,53,-105.102111,39.547444,10.25,15.5,0.40426453948020935,857.5,31.25,-7.050000190734863,38.29999923706055,13.949999809265137,-0.44999998807907104,21.350000381469727,-0.44999998807907104,477,66.4000015258789,16.200000762939453,44.79999923706055,182.89999389648438,56.5,159.3000030517578,56.5
JackieOtt1,54,-102.97,43.65,10.850000381469727,13.199999809265137,0.3341793417930603,981.79998779296875,33.04999923706055,-6.349999904632568,39.400001525878906,20.950000762939453,-1.75,23.649999618530273,-1.75,436.1000061035156,88.5,8.800000190734863,67.0999984741211,211.6999969482422,29.200000762939453,167.6999969482422,29.200000762939453
JackieOtt2,55,-102.32,43.71,10.75,12.699999809265137,0.3161277174949646,1026.9000244140625,33.45000076293945,-6.75,40.20000076293945,21.350000381469727,-2.450000047683716,24.149999618530273,-2.450000047683716,469.79998779296875,86.5,9.399999618530273,63.29999923706055,221.89999389648438,32.79999923706055,186.39999389648438,32.79999923706055
JackieOtt5,56,-102.61,43.78,10.149999618530273,13.100000381469727,0.3266666829586029,1010.7000122070312,32.75,-7.25,40,20.649999618530273,-2.75,23.350000381469727,-2.75,459.70001220703125,90.0999984741211,9.600000381469727,63.900001525878906,216.1999969482422,32.29999923706055,173.60000610351562,32.29999923706055
JackieOtt6,57,-101.94,43.84,10.449999809265137,12.399999618530273,0.3071369528770447,1039.300048828125,33.150001525878906,-7.25,40.400001525878906,21.149999618530273,-2.950000047683716,23.950000762939453,-2.950000047683716,519.79998779296875,95.19999694824219,10.600000381469727,62.599998474121094,249.3000030517578,38.79999923706055,205.8000030517578,38.79999923706055
JackieOtt7,58,-101.94,43.82,10.550000190734863,12.399999618530273,0.30693069100379944,1038.9000244140625,33.25,-7.150000095367432,40.400001525878906,21.25,-2.8499999046325684,24.049999237060547,-2.8499999046325684,524.4000244140625,95.69999694824219,10.800000190734863,62.29999923706055,250.6999969482422,39.400001525878906,207.1999969482422,39.400001525878906
